Expert,BachTime,Program,ProgSkills,C,CPP,CS,Java,Python,JS,R,SQL,SAS,Excel,Classification,Clustering,Job,Languages
1,longer than 1 year ago but less than 3 years ago,MSIS,4,1,1,0.0,1,1.0,1.0,0.0,1.0,0.0,1,4,4,0.0,7.0
0,over 5 years ago,MSIS,3,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,1,2,2,0.5,5.0
0,longer than 3 years ago but less than 5 years ago,MSIS,3,0,0,0.0,1,1.0,0.0,0.0,1.0,0.0,1,3,3,0.0,4.0
0,over 5 years ago,MSIS,3,1,0,0.0,1,1.0,0.0,1.0,1.0,0.0,1,2,3,0.0,6.0
0,longer than 3 years ago but less than 5 years ago,MSIS,3,1,0,0.0,1,1.0,0.0,0.0,1.0,0.0,1,1,1,0.0,5.0
0,longer than 1 year ago but less than 3 years ago,Supply Chain Mgmt & Analytics,1,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,2.0
0,longer than 1 year ago but less than 3 years ago,MSIS,3,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,1,2,2,0.0,5.0
0,< 1 year ago,MSIS,2,1,0,0.0,1,0.0,0.0,0.0,1.0,0.0,1,2,2,0.0,4.0
0,over 5 years ago,MBA,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0
0,over 5 years ago,MSIS,3,1,0,0.0,1,1.0,0.0,0.0,1.0,0.0,1,2,1,0.5,5.0
0,over 5 years ago,MBA,4,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,1,2,2,0.5,6.0
0,over 5 years ago,MBA,2,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,1.0,2.0
0,over 5 years ago,MSIS,4,1,1,0.0,1,0.0,0.0,0.0,1.0,1.0,1,1,1,0.5,6.0
0,< 1 year ago,Supply Chain Mgmt & Analytics,2,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,1,3,1,0.0,4.0
0,over 5 years ago,MBA,5,1,1,0.0,1,0.0,1.0,0.0,1.0,0.0,1,2,2,1.0,6.0
0,over 5 years ago,MBA,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0
1,over 5 years ago,Faculty!,3,1,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1,5,5,1.0,4.0
0,over 5 years ago,MBA,4,0,0,0.0,0,1.0,,1.0,1.0,,1,4,4,1.0,
0,longer than 1 year ago but less than 3 years ago,MBA,2,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,2,2,0.5,2.0
0,longer than 3 years ago but less than 5 years ago,MSIS,5,1,0,0.0,1,1.0,0.0,0.0,1.0,0.0,1,1,1,0.0,5.0
0,longer than 1 year ago but less than 3 years ago,MSIS,2,0,0,0.0,1,0.0,0.0,0.0,1.0,0.0,1,3,2,0.5,3.0
0,over 5 years ago,MSIS,2,0,0,1.0,1,1.0,1.0,0.0,1.0,0.0,1,1,1,0.0,6.0
0,longer than 3 years ago but less than 5 years ago,MBA,1,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1,2,0.0,2.0
0,longer than 3 years ago but less than 5 years ago,MSIS,3,1,1,0.0,1,1.0,1.0,0.0,1.0,0.0,1,2,2,0.5,7.0
0,longer than 3 years ago but less than 5 years ago,MBA,2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,2,0.0,3.0
0,over 5 years ago,MSIS,3,1,1,1.0,1,,1.0,0.0,1.0,0.0,1,2,1,0.0,
0,longer than 3 years ago but less than 5 years ago,MSIS,2,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,2,3,0.0,2.0
0,over 5 years ago,MSIS,3,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,1,2,2,0.5,5.0
0,over 5 years ago,MSIS,3,1,1,0.0,1,1.0,0.0,,1.0,0.0,1,1,1,0.5,
0,longer than 1 year ago but less than 3 years ago,MSIS,3,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,4.0
0,longer than 1 year ago but less than 3 years ago,MSIS,3,1,0,0.0,1,1.0,0.0,0.0,1.0,0.0,1,1,1,0.5,5.0
0,over 5 years ago,Business Man,1,0,0,,0,0.0,1.0,1.0,0.0,0.0,1,2,3,1.0,
1,over 5 years ago,MBA,3,0,0,0.0,0,1.0,0.0,1.0,1.0,0.0,1,4,4,0.0,4.0
0,longer than 3 years ago but less than 5 years ago,MSIS,3,1,0,0.0,1,0.0,0.0,0.0,1.0,0.0,1,3,3,0.0,4.0
0,over 5 years ago,MSIS,4,1,1,0.0,1,1.0,1.0,0.0,1.0,0.0,1,1,2,0.0,7.0
0,over 5 years ago,Master of Finance,4,1,1,0.0,0,1.0,1.0,0.0,1.0,0.0,1,1,1,0.0,6.0
0,over 5 years ago,MBA,3,0,1,0.0,1,0.0,1.0,1.0,1.0,0.0,1,3,3,1.0,6.0
0,longer than 1 year ago but less than 3 years ago,MSIS,1,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1,1,1,0.0,2.0
0,over 5 years ago,MBA,1,0,0,0.0,0,0.0,0.0,1.0,1.0,1.0,1,1,1,0.0,4.0
0,longer than 3 years ago but less than 5 years ago,MSIS,3,1,0,0.0,1,0.0,0.0,0.0,1.0,0.0,1,3,3,0.0,4.0
0,longer than 1 year ago but less than 3 years ago,MSIS,3,1,0,0.0,1,1.0,1.0,1.0,1.0,0.0,0,3,3,1.0,6.0
0,longer than 3 years ago but less than 5 years ago,MSIS,2,0,0,0.0,1,0.0,1.0,0.0,1.0,0.0,1,2,1,0.0,4.0
0,longer than 1 year ago but less than 3 years ago,MSIS,4,0,0,0.0,1,1.0,1.0,0.0,1.0,0.0,0,2,1,0.0,4.0
0,longer than 1 year ago but less than 3 years ago,MSIS,3,1,1,0.0,1,0.0,1.0,0.0,1.0,0.0,1,1,1,0.0,6.0
0,over 5 years ago,MSIS,3,0,1,0.0,1,1.0,1.0,0.0,1.0,0.0,1,1,1,0.0,6.0
0,longer than 1 year ago but less than 3 years ago,MSIS,3,1,1,0.0,1,1.0,1.0,1.0,1.0,0.0,0,2,2,1.0,7.0
0,longer than 1 year ago but less than 3 years ago,MSIS,4,1,1,1.0,1,1.0,1.0,0.0,1.0,0.0,1,2,2,0.0,8.0
0,longer than 1 year ago but less than 3 years ago,MSIS,4,1,1,0.0,1,0.0,1.0,0.0,1.0,0.0,1,2,2,0.0,6.0
0,longer than 3 years ago but less than 5 years ago,MSIS,4,1,1,0.0,1,1.0,0.0,0.0,1.0,0.0,1,1,1,0.5,6.0
0,over 5 years ago,MBA,3,1,1,0.0,0,1.0,0.0,0.0,1.0,0.0,1,2,1,1.0,5.0
0,longer than 1 year ago but less than 3 years ago,MBA,3,0,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,3,3,0.5,7.0
0,longer than 3 years ago but less than 5 years ago,MSIS,3,1,0,0.0,1,0.0,0.0,0.0,1.0,0.0,1,3,3,0.0,4.0
0,longer than 3 years ago but less than 5 years ago,MSIS,4,1,1,0.0,1,0.0,1.0,0.0,1.0,0.0,1,2,2,0.0,6.0
0,longer than 3 years ago but less than 5 years ago,MSIS,3,1,1,0.0,1,0.0,0.0,0.0,1.0,1.0,1,2,2,0.5,6.0
0,longer than 3 years ago but less than 5 years ago,MSIS,2,0,0,0.0,1,1.0,1.0,1.0,1.0,0.0,1,1,1,0.0,6.0
0,over 5 years ago,MSIS,3,0,0,0.0,1,0.0,1.0,0.0,1.0,0.0,1,1,1,0.5,4.0
0,over 5 years ago,MBA,2,0,0,0.0,1,0.0,1.0,0.0,1.0,0.0,1,1,1,1.0,4.0
0,over 5 years ago,MSIS,4,1,0,0.0,1,0.0,0.0,0.0,,1.0,1,1,1,0.0,
0,over 5 years ago,MSIS,3,0,1,0.0,1,0.0,0.0,0.0,1.0,0.0,1,1,1,0.5,4.0
0,longer than 3 years ago but less than 5 years ago,MSIS,3,0,0,0.0,1,1.0,0.0,0.0,1.0,0.0,1,1,2,0.0,4.0
0,over 5 years ago,MBA,3,1,1,1.0,1,1.0,1.0,0.0,1.0,0.0,1,1,1,1.0,8.0
